name	count
BEATRIZ	170
ANA	169
ALEJANDRA	169
STEPHANIE	169
WINCENTA	169
MARINA	168
RACHELA	165
LEE	163
GABRIELLA	162
PAOLA	161
JASMIN	161
CLAIRE	160
RAFAELA	159
ANIDA	157
OTOLIA	156
SYLVIA	156
JOY	155
HIERONIMA	155
JASMINA	155
DĄBRÓWKA	154
PIA	153
EDMUNDA	151
DORIS	150
LIVIA	146
URSULA	146
JACQUELINE	146
JANA	145
MARIA TERESA	144
AIDA	144
PRZEMYSŁAWA	144
WIERA	144
ANH	143
JULIANA	143
ANICETA	143
AURELA	142
KARMEN	142
MARIETA	141
LETYCJA	139
LORA	139
THERESA	138
HANNAH	138
INKA	137
LAURENCJA	137
ANGELICA	136
HELENE	135
CLARA	134
BEATRYCZE	134
ELISA	134
SELENA	133
KATE	133
MELISA	132
KRYSTIANA	132
KAREN	132
ROXANA	132
KONRADA	132
DENISE	132
KORDULA	131
WŁODZIMIERA	131
KRYSPINA	131
FRANCES	131
MAY	129
MALGORZATA	129
CECILIA	129
NUR	128
AFRODYTA	127
BIANCA	127
EDITH	127
ESTHER	127
ARIANA	126
ANDŻELINA	126
JESICA	126
MILA	125
NIKOLETTA	125
JEAN	125
WALBURGA	125
ASTRID	125
ANDRZELIKA	125
KLEOPATRA	124
VALENTINA	124
ALOJZJA	123
LUCJANNA	121
HERTA	121
JESIKA	121
WERA	120
ORIANA	120
LUCJANA	119
SOFIE	118
FELICYTA	117
FABIOLA	117
SATURNINA	117
ROZWITA	117
SAMANTHA	115
LUCY	115
STELA	115
ANNA MARIA	113
NATHALIE	112
ŚWIĘTOSŁAWA	112
MARGARETE	112
JUDITH	112
INGRIDA	111
ALMA	111
HEDWIG	111
GUSTAWA	111
ARKADIA	111
DIONIZA	111
HANA	111
LUNA	110
FLORA	110
IWONKA	110
HILDA	109
JOLA	109
ESTER	109
THERESE	109
TOLA	109
DAMIANA	108
KLOTYLDA	107
IWETTA	107
ERWINA	106
DORA	105
NELLY	105
ISMENA	104
MARIA MAGDALENA	104
KIRA	104
LEOPOLDA	103
AMY	102
GERARDA	102
EVE	101
ATENA	101
ADOLFINA	100
BELLA	99
LUBA	99
ŻAKLIN	99
LILLY	99
ELLEN	99
IRMGARD	99
REBECCA	98
VIRGINIA	98
SIMONE	98
EUFROZYNA	98
KAMILIA	98
SILVIA	98
PAULINE	97
YVONNE	97
MELANIE	97
MAE	97
PETRA	96
LINH	96
OLENA	96
JESSIKA	96
RAQUEL	96
MELISSA	95
JULIE	95
WISŁAWA	95
ILZA	95
SUSAN	95
EUZEBIA	94
ELENI	94
AMBER	93
NASTAZJA	92
LUDOMIŁA	92
FRYDA	91
RAISA	91
ADELINA	91
FLORIANNA	90
CHANTAL	90
JASMINE	88
CHLOE	88
FRIEDA	88
TINA	88
MAKSYMILIANA	87
HILDEGARD	87
BETINA	87
CHIARA	87
LEILA	87
SYLWINA	86
SUSANA	86
FRIDA	86
PALOMA	85
ANIA	85
LUISE	84
WALTRAUDA	84
RENEE	84
